ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
Language;Language?;Boolean;true | false;;"if (Language) {Unicode = true;}";true
Language*;Which Language*?;Enumeration;Java | Python | PHP | Perl;1:1;"if (Language*.Java) {Language = true;}if (Language*.Python) {Language = true;}if (Language*.PHP) {Language = true;}if (Language*.Perl) {Language = true;}if (Language*.Java) {LicenseCostFee* = US;}if (Language*.Perl) {Storage* = FileRCS;}if (Language*.Python) {disAllow(Storage*.Database);}";Language
License;Which License?;Enumeration;Commercial | NoLimit | GPL | GPL2;1:1;"if (License.GPL) {Storage = true;}if (License.GPL2) {Language* = PHP;}if (License.NoLimit) {disAllow(LicenseCostFee*.DifferentLicenses);}if(License.GPL) {disAllow(LicenseCostFee.DifferentLicenses);}if (License.Commercial) {LicenseCostFee* = US;}if (LicenseCostFee*.US) {License = Commercial;}if (License.NoLimit) {Unicode = false;}";true
LicenseCostFee;LicenseCostFee?;Boolean;true | false;;;"if (LicenseCostFee) {disAllow(Storage*.Files);}if (!LicenseCostFee) {Storage = true;}";true
LicenseCostFee*;Which LicenseCostFee*?;Enumeration;DifferentLicenses | US | Community;1:1;"if (LicenseCostFee*.US) {License = Commercial;}if (LicenseCostFee*.US) {Language* = Java;}if (LicenseCostFee*.DifferentLicenses) {disAllow(License.GPL);}if (License.Commercial) {LicenseCostFee* = US;}if (LicenseCostFee*.DifferentLicenses) {disAllow(License.NoLimit);}if (LicenseCostFee*.Community) {Storage* = FileRCS;}";LicenseCostFee
Storage;Storage?;Boolean;true | false;;"if (Storage) {Unicode = true;}if (!LicenseCostFee) {Storage = true;}";true
Storage*;Which Storage*?;Enumeration;Files | Database | FileRCS;1:1;"if (Storage*.Files) {Storage = true;}if (Storage*.Database) {Storage = true;}if (Storage*.FileRCS) {Storage = true;}if (Storage*.Database) {disAllow(Language*.Python);}if (Storage*.FileRCS) {Language* = Perl;}if (Storage*.FileRCS) {LicenseCostFee* = Community;}if (Storage*.Files) {LicenseCostFee = false;}";Storage
Unicode;Unicode?;Boolean;true | false;;"if (Unicode) {disAllow(License.NoLimit);}if (Unicode) {Storage = true;}if (Unicode) {Language = true;}";true
