ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
Modes_;Which Modes_?;Enumeration;top | horizontal | bottom | vertical;1:4;"if (Strands_.Strands_7) {disAllow(Modes_.top);}if (Strands_.Strands_6) {disAllow(Modes_.top);}if (Strands_.Strands_5) {disAllow(Modes_.top);}if (Strands_.Strands_31) {disAllow(Modes_.top);}if (Strands_.Strands_30) {disAllow(Modes_.top);}if (Strands_.Strands_29) {disAllow(Modes_.top);}if (Strands_.Strands_28) {disAllow(Modes_.top);}if (Strands_.Strands_27) {disAllow(Modes_.top);}if (Strands_.Strands_26) {disAllow(Modes_.top);}if (Strands_.Strands_25) {disAllow(Modes_.top);}if (Strands_.Strands_24) {disAllow(Modes_.top);}if (Strands_.Strands_23) {disAllow(Modes_.top);}if (Strands_.Strands_22) {disAllow(Modes_.top);}if (Strands_.Strands_21) {disAllow(Modes_.top);}if (Strands_.Strands_20) {disAllow(Modes_.top);}if (Strands_.Strands_19) {disAllow(Modes_.top);}if (Strands_.Strands_18) {disAllow(Modes_.top);}if (Strands_.Strands_17) {disAllow(Modes_.top);}if (Strands_.Strands_16) {disAllow(Modes_.top);}if (Strands_.Strands_15) {disAllow(Modes_.top);}if (Strands_.Strands_14) {disAllow(Modes_.top);}if (Strands_.Strands_13) {disAllow(Modes_.top);}if (Strands_.Strands_12) {disAllow(Modes_.top);}if (Strands_.Strands_11) {disAllow(Modes_.top);}if (Strands_.Strands_10) {disAllow(Modes_.top);}if (Strands_.Strands_9) {disAllow(Modes_.top);}if (Strands_.Strands_8) {disAllow(Modes_.top);}if (Strands_.Strands_100) {disAllow(Modes_.top);}if (Strands_.Strands_96) {disAllow(Modes_.top);}if (Strands_.Strands_97) {disAllow(Modes_.top);}if (Strands_.Strands_98) {disAllow(Modes_.top);}if (Strands_.Strands_99) {disAllow(Modes_.top);}if (Strands_.Strands_92) {disAllow(Modes_.top);}if (Strands_.Strands_93) {disAllow(Modes_.top);}if (Strands_.Strands_94) {disAllow(Modes_.top);}if (Strands_.Strands_95) {disAllow(Modes_.top);}if (Strands_.Strands_88) {disAllow(Modes_.top);}if (Strands_.Strands_89) {disAllow(Modes_.top);}if (Strands_.Strands_90) {disAllow(Modes_.top);}if (Strands_.Strands_91) {disAllow(Modes_.top);}if (Strands_.Strands_84) {disAllow(Modes_.top);}if (Strands_.Strands_85) {disAllow(Modes_.top);}if (Strands_.Strands_86) {disAllow(Modes_.top);}if (Strands_.Strands_87) {disAllow(Modes_.top);}if (Strands_.Strands_80) {disAllow(Modes_.top);}if (Strands_.Strands_81) {disAllow(Modes_.top);}if (Strands_.Strands_82) {disAllow(Modes_.top);}if (Strands_.Strands_83) {disAllow(Modes_.top);}if (Strands_.Strands_76) {disAllow(Modes_.top);}if (Strands_.Strands_77) {disAllow(Modes_.top);}if (Strands_.Strands_78) {disAllow(Modes_.top);}if (Strands_.Strands_79) {disAllow(Modes_.top);}if (Strands_.Strands_72) {disAllow(Modes_.top);}if (Strands_.Strands_73) {disAllow(Modes_.top);}if (Strands_.Strands_74) {disAllow(Modes_.top);}if (Strands_.Strands_75) {disAllow(Modes_.top);}if (Strands_.Strands_68) {disAllow(Modes_.top);}if (Strands_.Strands_69) {disAllow(Modes_.top);}if (Strands_.Strands_70) {disAllow(Modes_.top);}if (Strands_.Strands_71) {disAllow(Modes_.top);}if (Strands_.Strands_64) {disAllow(Modes_.top);}if (Strands_.Strands_65) {disAllow(Modes_.top);}if (Strands_.Strands_66) {disAllow(Modes_.top);}if (Strands_.Strands_67) {disAllow(Modes_.top);}if (Strands_.Strands_62) {disAllow(Modes_.top);}if (Strands_.Strands_63) {disAllow(Modes_.top);}if (Strands_.Strands_60) {disAllow(Modes_.top);}if (Strands_.Strands_61) {disAllow(Modes_.top);}if (Strands_.Strands_58) {disAllow(Modes_.top);}if (Strands_.Strands_59) {disAllow(Modes_.top);}if (Strands_.Strands_56) {disAllow(Modes_.top);}if (Strands_.Strands_57) {disAllow(Modes_.top);}if (Strands_.Strands_54) {disAllow(Modes_.top);}if (Strands_.Strands_55) {disAllow(Modes_.top);}if (Strands_.Strands_52) {disAllow(Modes_.top);}if (Strands_.Strands_53) {disAllow(Modes_.top);}if (Strands_.Strands_50) {disAllow(Modes_.top);}if (Strands_.Strands_51) {disAllow(Modes_.top);}if (Strands_.Strands_48) {disAllow(Modes_.top);}if (Strands_.Strands_49) {disAllow(Modes_.top);}if (Strands_.Strands_46) {disAllow(Modes_.top);}if (Strands_.Strands_47) {disAllow(Modes_.top);}if (Strands_.Strands_44) {disAllow(Modes_.top);}if (Strands_.Strands_45) {disAllow(Modes_.top);}if (Strands_.Strands_42) {disAllow(Modes_.top);}if (Strands_.Strands_43) {disAllow(Modes_.top);}if (Strands_.Strands_40) {disAllow(Modes_.top);}if (Strands_.Strands_41) {disAllow(Modes_.top);}if (Strands_.Strands_38) {disAllow(Modes_.top);}if (Strands_.Strands_39) {disAllow(Modes_.top);}if (Strands_.Strands_36) {disAllow(Modes_.top);}if (Strands_.Strands_37) {disAllow(Modes_.top);}if (Strands_.Strands_34) {disAllow(Modes_.top);}if (Strands_.Strands_35) {disAllow(Modes_.top);}if (Strands_.Strands_32) {disAllow(Modes_.top);}if (Strands_.Strands_33) {disAllow(Modes_.top);}";VIRTUAL_ROOT.Modes
Strands_;Which Strands_?;Enumeration;Strands_7 | Strands_6 | Strands_5 | Strands_4 | Strands_3 | Strands_2 | Strands_31 | Strands_30 | Strands_29 | Strands_28 | Strands_27 | Strands_26 | Strands_25 | Strands_24 | Strands_23 | Strands_22 | Strands_21 | Strands_20 | Strands_19 | Strands_18 | Strands_17 | Strands_16 | Strands_15 | Strands_14 | Strands_13 | Strands_12 | Strands_11 | Strands_10 | Strands_9 | Strands_8 | Strands_100 | Strands_96 | Strands_97 | Strands_98 | Strands_99 | Strands_92 | Strands_93 | Strands_94 | Strands_95 | Strands_88 | Strands_89 | Strands_90 | Strands_91 | Strands_84 | Strands_85 | Strands_86 | Strands_87 | Strands_80 | Strands_81 | Strands_82 | Strands_83 | Strands_76 | Strands_77 | Strands_78 | Strands_79 | Strands_72 | Strands_73 | Strands_74 | Strands_75 | Strands_68 | Strands_69 | Strands_70 | Strands_71 | Strands_64 | Strands_65 | Strands_66 | Strands_67 | Strands_62 | Strands_63 | Strands_60 | Strands_61 | Strands_58 | Strands_59 | Strands_56 | Strands_57 | Strands_54 | Strands_55 | Strands_52 | Strands_53 | Strands_50 | Strands_51 | Strands_48 | Strands_49 | Strands_46 | Strands_47 | Strands_44 | Strands_45 | Strands_42 | Strands_43 | Strands_40 | Strands_41 | Strands_38 | Strands_39 | Strands_36 | Strands_37 | Strands_34 | Strands_35 | Strands_32 | Strands_33 | Strands_1;1:1;;VIRTUAL_ROOT.Strands
VIRTUAL_ROOT;Which VIRTUAL_ROOT?;Enumeration;Strands | Modes | UI | TopFeeding3D;1:4;;true
